"species","area_global","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_mean_int","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","Order","X2024.IUCN.Red.List.category","Average.Mass","Clutch_Min","Clutch_Max","Sed","Primary.Habitat","Primary.Diet","HB","Flightlessness","Exposure","IUCN_num","Clutch_mean","Flightless_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Emberiza personata",0.00153414186107576,0.65736528108082,0.829618324142727,0.586135670443186,0.379292281689201,0.440421638653059,0.680953714198887,0.171991008954798,0.646984405744516,0.658025398398252,0.3629338130422,0.121514138203708,NA,"Passeriformes","LC",0.0003543363641684,4,5,0,"Forest","Invertebrate",4,"No",0.541372153634764,0,0.184210526315789,0,0.0461412156699895,0.0230706078349947,0.0615241400323916,0.0117213613895566,"High"
"Emberiza pusilla",0.0725340854774437,0.789382991554625,0.832552955590589,0.560960694480202,0.663311362297346,0.696951650704212,0.672435017054178,0.175572550728171,0.66929705636745,0.687396845200068,0.302470278220714,0.14765320184857,NA,"Passeriformes","LC",0.000247929047601313,4,6,0,"Forest","Seed",5,"No",0.605033140219756,0,0.210526315789474,0,0.0526935612092687,0.0263467806046344,0.110093643663007,0.0141857083662379,"High"
"Emberiza rustica",0.114941446004233,0.799816898727175,0.802909450102024,0.591577270899497,0.599058393647964,0.609202257726913,0.649245447522961,0.184172588875911,0.621354812045404,0.648265752658471,0.302663636483104,0.173409564572742,NA,"Passeriformes","VU",0.000339084648793784,4,6,0,"Forest","Seed",6,"No",0.580826650868942,0.5,0.210526315789474,0,0.0527163501095669,0.276358175054783,0.144175505288487,0.137373689987464,"Very high"
"Emberiza rutila",0.0263584386513363,0.800890223517638,0.793949562367633,0.58759618573235,0.565669208819108,0.567912523925552,0.661459334462606,0.197205020934931,0.620056351683549,0.6401543350489,0.31071281801627,0.196319699804641,NA,"Passeriformes","LC",0.000293684193725161,4,4,0,"Forest","Invertebrate",3,"No",0.574560556450854,0,0.157894736842105,0,0.0395471052589576,0.0197735526294788,0.111339069227988,0.0100961687236438,"High"
"Emberiza schoeniclus",0.164241033386804,0.793249089855265,0.816266848057883,0.638395600398755,0.536445963105913,0.560984379182619,0.608346269175455,0.187280361062997,0.606488979240157,0.61951063261008,0.320343148369527,0.20004099066289,NA,"Passeriformes","LC",0.000311418746486341,4,5,0,"Wetland","Omnivore",6,"No",0.568731127105865,0,0.184210526315789,0,0.046130486265569,0.0230652431327845,0.182141012024847,0.0107286101854292,"High"
"Emberiza siemsseni",0.00323722690344791,0.803905932127257,0.78627620836221,0.675282127924507,0.319793442864951,0.356104853464626,0.657590241830627,0.222240142667576,0.51516466319657,0.604230957067233,0.353273691156642,0.225187422931633,NA,"Passeriformes","LC",0.000260697925589364,NA,NA,0,"Forest","Invertebrate",4,"No",0.52938622606622,0,NA,0,8.68993085297878e-05,4.34496542648939e-05,0.11421232491754,2.03745767436043e-05,"Very low"
"Emberiza socotrana",1.84874053048535e-06,0.682884025044493,0.867836571480904,0.639348270203611,0.12855211704916,0.196527582001915,0.387896821929459,0.0886199473336621,0.131274700586452,0.369294799031381,0.166903746134367,0.143401162318798,NA,"Passeriformes","NT",0.000223455364790883,NA,NA,0,"Shrub","Seed",1,"No",0.36591385807954,0.25,NA,0,7.4485121596961e-05,0.125037242560798,0.0717015055296642,0.0424723108970186,"Very high"
"Emberiza spodocephala",0.0297270705550729,0.806416774491583,0.776377710079958,0.600834005261377,0.502341788682537,0.503205642953827,0.653077604719483,0.215442921562946,0.578306310616595,0.63232090993418,0.321672191589365,0.197381289366808,NA,"Passeriformes","LC",0.000286874125464867,4,5,0,"Shrub","Omnivore",4,"No",0.558999585989185,0,0.184210526315789,0,0.0461243501103136,0.0230621750551568,0.113554179960941,0.0114278346275912,"High"
"Emberiza stewarti",0.00615927414055792,0.708653219272465,0.869115186162612,0.798919749991566,0.338674991158698,0.41223999718599,0.369499578603432,0.125656776445364,0.308570829572252,0.431485603154374,0.224503236061787,0.263931079276548,NA,"Passeriformes","LC",0.000262471380865481,3,5,0,"Grassland","Seed",5,"No",0.458731916760854,0,0.157894736842105,0,0.0395393020557427,0.0197696510278713,0.135045176708553,0.00784424926568746,"Medium"
"Emberiza striolata",0.00833325479168219,0.766716004647073,0.872085529194171,0.900878017122995,0.257257265173911,0.322821306219003,0.340545988957723,0.22698986648777,0.410934853914546,0.411891877821267,0.388144015213076,0.191226128932723,NA,"Passeriformes","LC",0.000212814633134174,2,4,0,"Rocky","Seed",5,"No",0.489826472475154,0,0.105263157894737,0,0.0263689931319678,0.0131844965659839,0.0997796918622024,0.0058137266752362,"Medium"
"Emberiza sulphurata",0.00185520754065918,0.654309414050379,0.813443661040194,0.638206094780282,0.308607204334821,0.371908272346108,0.741911077822588,0.19801315412075,0.58560315689047,0.671942970677817,0.37419722789031,0.122684660642958,NA,"Passeriformes","LC",0.00023196795011625,3,4,0,"Forest","Omnivore",1,"No",0.535814223395372,0,0.131578947368421,0,0.0329527288296343,0.0164763644148172,0.0622699340918085,0.00827853458714597,"Medium"
"Emberiza tahapisi",0.0122947060775149,0.754294192275929,0.845036235233131,0.780013878101959,0.167919142277754,0.228193175883247,0.427429913581364,0.379495243021582,0.524602796024749,0.515035399367646,0.59393754290124,0.336644008288945,NA,"Passeriformes","LC",0.000272402730411743,2,4,0,"Rocky","Seed",6,"No",0.52159575186686,0,0.105263157894737,0,0.0263838901562871,0.0131919450781436,0.17446935718323,0.00568036285235198,"Medium"
"Emberiza tristrami",0.00433780408330417,0.810743658959039,0.749330267573779,0.645290886810824,0.3415221144588,0.345601130008822,0.468779517129176,0.215683636683321,0.374142100011588,0.501302659291087,0.291016926608782,0.153709503634649,NA,"Passeriformes","LC",0.000300600669302021,4,5,0,"Forest","Seed",2,"No",0.474341289753522,0,0.184210526315789,0,0.0461277817462729,0.0230638908731364,0.0790236538589768,0.0100756246628605,"High"
"Emberiza variabilis",0.00157486854883826,0.685063594959663,0.820106720964748,0.541631549395052,0.383956965065797,0.435435923096,0.732415803958117,0.189502663000816,0.683350800233624,0.708276351678133,0.377528743693363,0.130647366716543,NA,"Passeriformes","LC",0.000456487388072804,3,5,0,"Shrub","Omnivore",4,"No",0.555726911604531,0,0.157894736842105,0,0.0395878060575445,0.0197939030287723,0.0661111176326906,0.0102727820007892,"High"
"Emberiza yessoensis",0.00685686079336089,0.765937639419245,0.738104467300113,0.665300980449323,0.412720545746808,0.403636951962629,0.623840971718112,0.243319316590744,0.540289650231852,0.641192718602755,0.334334020253125,0.119146390429649,NA,"Passeriformes","NT",0.000202173901477466,3,5,0,"Wetland","Omnivore",4,"No",0.536867726227471,0.25,0.157894736842105,0,0.0395242276858957,0.144762113842948,0.0630016256115051,0.0728217398284239,"Very high"
"Enicurus immaculatus",0.00288913143979123,0.740608135222721,0.801917685179004,0.688893226135996,0.256642154869056,0.315082719041047,0.374172952653711,0.288965120965192,0.364923255869632,0.431366037955055,0.354635331360426,0.224034405303901,NA,"Passeriformes","LC",0.000489473656208601,3,3,0,"Riparian","Invertebrate",2,"No",0.461720661925184,0,0.105263157894737,0,0.0264381578877364,0.0132190789438682,0.113461768371846,0.00541100549420256,"Medium"
"Enicurus leschenaulti",0.0190770534742933,0.762246198160455,0.750312043678422,0.673924132805778,0.232072112924372,0.275613825352621,0.532426528272414,0.30844578556324,0.401671863439949,0.530807019887193,0.376445487141321,0.201091358147037,NA,"Passeriformes","LC",0.000849130386205355,2,5,0,"Riparian","Invertebrate",3,"No",0.484396499722576,0,0.131578947368421,0,0.0331070194386566,0.0165535097193283,0.110084205810665,0.007135756126781,"Medium"
"Enicurus maculatus",0.0052100685787393,0.809418127317231,0.753969387678803,0.649921871842811,0.260524023972396,0.290563527814411,0.467788288693276,0.311344106135624,0.408720214745827,0.50568631866779,0.369523282669448,0.279346097926397,NA,"Passeriformes","LC",0.000787414142596445,3,4,0,"Riparian","Invertebrate",3,"No",0.482745914953762,0,0.131578947368421,0,0.0330915903777544,0.0165457951888772,0.142278083252568,0.00685098093547187,"Medium"
"Enicurus ruficapillus",0.00317493233805035,0.673146205280295,0.592891109428377,0.688279857401853,0.109293372775814,0.13873789031325,0.416668121006659,0.489112589258926,0.316097061767108,0.452736811506262,0.463525152866268,0.0824191931710616,NA,"Passeriformes","NT",0.000546933607154828,2,2,0,"Riparian","Invertebrate",1,"No",0.434048817160481,0.25,0.0526315789473684,0,0.0132946281386308,0.131647314069315,0.042797062754556,0.0546958785435056,"Very high"
"Enicurus schistaceus",0.00762296762468826,0.799069840362433,0.794569546967407,0.683639935214519,0.254287099571581,0.303762657241819,0.48391572120378,0.274150059737789,0.396318987612223,0.506990481662036,0.350875208034903,0.222225868318859,NA,"Passeriformes","LC",0.000557574338811537,2,5,0,"Riparian","Invertebrate",2,"No",0.484757953760849,0,0.131578947368421,0,0.0330341304268081,0.0165170652134041,0.114924417971774,0.00708660434903742,"Medium"
"Enicurus scouleri",0.0109169807713399,0.806548792261623,0.786605262845051,0.605105909405572,0.285899621655574,0.32859330300784,0.565515286211105,0.255089474640081,0.485634084924514,0.559809122927824,0.372237897628934,0.361509217886787,NA,"Passeriformes","LC",0.00024367275493863,2,4,0,"Riparian","Invertebrate",2,"No",0.505103875550812,0,0.105263157894737,0,0.0263767076624189,0.0131883538312094,0.186213099329063,0.00542103218791723,"Medium"
"Entomyzon cyanotis",0.00648708144493019,0.718381250055874,0.786734051146315,0.664217199286183,0.0932469271351728,0.166541285793045,NA,0.287083564224766,0.386981340534759,NA,0.453687680220554,0.0478603943845697,NA,"Passeriformes","LC",0.00208664747788058,2,3,0,"Forest","Omnivore",6,"No",0.444609162299584,0,0.0789473684210526,0,0.0202585039747333,0.0101292519873667,0.02717373791475,0.0043811797295045,"Low"
"Eophona migratoria",0.022709409080607,0.795189739397317,0.758882151479539,0.650994386351135,0.388546759439057,0.395215688735635,0.586012290228852,0.224899931010415,0.498616445865908,0.586418292034694,0.323854161787578,0.176664858508305,NA,"Passeriformes","LC",0.000920423288305304,3,5,0,"Forest","Seed",4,"No",0.520862984633013,0,0.157894736842105,0,0.0397037900326026,0.0198518950163013,0.0996871337944562,0.00930934063319177,"High"
"Eophona personata",0.00844367162666483,0.767114119579707,0.760109204378955,0.613993015201971,0.400520158873115,0.405154164711929,0.464928182882311,0.194160205826866,0.432798360685091,0.523318519129091,0.291793161537175,0.13885595981628,NA,"Passeriformes","LC",0.00164576649623761,3,4,0,"Forest","Seed",3,"No",0.485388909280621,0,0.131578947368421,0,0.0333061784661647,0.0166530892330823,0.0736498157214725,0.0074878968006442,"Medium"
"Eos bornea",0.000196736357956559,0.75208682036392,0.723627879288056,0.586167312226209,0.0956130488799575,0.14374279634251,0.306876642721663,0.36989058115186,0.309150755432916,0.430951418246566,0.438708143650138,0.171571878047215,NA,"Psittaciformes","LC",0.00321350096032603,NA,NA,0,"Forest","Nectar",3,"No",0.41568153983038,0,NA,0,0.00107116698677534,0.000535583493387672,0.0858843072025858,0.000203511561451242,"Very low"
"Eos cyanogenia",8.49890927707423e-06,0.709529428153922,0.538525177377514,0.573142051937094,0.0374146746361973,0.0662860465896753,NA,0.637235064723392,0.273910092955255,NA,0.563957478051301,0.062419943262165,NA,"Psittaciformes","NT",0.00297940486387844,2,2,0,"Forest","Nectar",1,"No",0.425000001803044,0.25,0.0526315789473684,0,0.0139027459528117,0.131951372976406,0.031214221085721,0.054328861030784,"Very high"
"Eos histrio",5.04402845271906e-06,0.962457895873237,0.949137385337718,0.603252973589167,0.0317434190721241,0.12960613113833,NA,1,0.460120407808578,NA,1,0.0511824090415572,NA,"Psittaciformes","EN",0.00425629266268349,2,2,0,"Forest","Nectar",1,"No",0.642039776602394,0.75,0.0526315789473684,0,0.014221967902513,0.382110983951256,0.0255937265350049,0.239051530305582,"Very high"
"Eos reticulata",1.38080998309186e-05,0.8149711164442,0.813145377880544,0.596636049400314,0.040212372804202,0.103795890486536,0.385227305629791,0.461237815205187,0.310803123232955,0.429828796732805,0.595769210131589,0.0519549333844629,NA,"Psittaciformes","NT",0.0031709380336992,2,2,0,"Forest","Nectar",3,"No",0.455162705794812,0.25,0.0526315789473684,0,0.0139506292452669,0.131975314622633,0.0259843707421469,0.0585093538812044,"Very high"
"Eos semilarvata",3.884595657345e-06,0.754324189572793,0.615407461480342,0.534933036950803,0.0818829065798229,0.114577929755601,NA,0.418755614906882,0.276807780539261,NA,0.427191904665336,0.253057698373136,NA,"Psittaciformes","NT",0.00193661316152099,NA,NA,0,"Forest","Nectar",1,"No",0.402985103056355,0.25,NA,0,0.000645537720506995,0.125322768860254,0.126530791484397,0.0441129979267436,"Very high"
"Eos squamata",9.18178734420349e-05,0.931496474749403,0.850849063725971,0.586290106412392,0.0387371599702644,0.131811024886879,0.391046218595698,0.825292907720368,0.365873009264914,0.429135849837827,0.792949669958764,0.0908542376059273,NA,"Psittaciformes","LC",0.00185148730826732,2,2,0,"Forest","Herbivore",4,"No",0.534348148512248,0,0.0526315789473684,0,0.0136207665639089,0.00681038328195447,0.0454730277396847,0.00347363408831666,"Low"
"Ephippiorhynchus asiaticus",0.0181577281623721,0.658476731058862,0.851988372397581,0.845308551208148,0.258320401972989,0.333944660833942,0.293651627285566,0.14690924138975,0.202740909878808,0.356892173250182,0.212032611151648,0.102232554219903,NA,"Ciconiiformes","NT",0.0871688737317578,2,5,0,"Wetland","Fish",6,"No",0.416026528042747,0.25,0.131578947368421,0,0.0546869552750447,0.152343477637522,0.0601951411911374,0.0595638245476897,"Very high"
"Epimachus fastosus",0.000232145573937235,0.611116685096137,0.417422645496905,0.46971513800395,0.106891580572648,0.0855366370350582,NA,0.586781955916269,0.31710210753129,NA,0.476833513266631,0.424851039209185,NA,"Passeriformes","LC",0.00514479375601866,NA,NA,0,"Forest","Omnivore",1,"No",0.383925032864861,0,NA,0,0.00171493125200622,0.000857465626003111,0.212541592391561,0.000259233291111881,"Very low"
"Epimachus meyeri",0.000389076787699528,0.588254047558738,0.395147763142665,0.44637349065739,0.107706678579366,0.0807498354304628,NA,0.57178786478331,0.307096820887471,NA,0.461807849943261,0.462987341382659,NA,"Passeriformes","LC",0.0041498853461164,1,1,0,"Forest","Omnivore",1,"No",0.369865543872833,0,0,0,0.0010374713365291,0.00051873566826455,0.231688209085179,0.000147410182621746,"Very low"
"Eremophila alpestris",0.21714115492694,0.805997749402143,0.836882721112158,0.590561140547492,0.620228474357274,0.656342735164256,0.587255470883114,0.188342988473824,0.702298344230568,0.649544034694177,0.338980311762682,0.243053255499376,NA,"Passeriformes","LC",0.000657951907439823,1,8,0,"Plains","Seed",7,"No",0.597643397062769,0,0.184210526315789,0,0.0462171195558073,0.0231085597779037,0.230097205213158,0.0106328797185936,"High"
"Eremophila bilopha",0.00475976149695441,0.745799337208882,0.950881448830005,0.89452151807954,0.29855104608029,0.431448138801538,0.750289711841738,0.317445076640009,0.934316452234768,0.80549017688371,0.605251317005339,0.168302789808595,NA,"Passeriformes","LC",0.000734210484312901,2,4,0,"Grassland","Seed",3,"No",0.673399422360582,0,0.105263157894737,0,0.0264993420947624,0.0132496710473812,0.0865312756527748,0.00815026102659055,"Medium"
"Eremophila alpestris",0.21714115492694,0.805997749402143,0.836882721112158,0.590561140547492,0.620228474357274,0.656342735164256,0.587255470883114,0.188342988473824,0.702298344230568,0.649544034694177,0.338980311762682,0.243053255499376,NA,"Passeriformes","LC",0.000657951907439823,1,8,0,"Plains","Seed",7,"No",0.597643397062769,0,0.184210526315789,0,0.0462171195558073,0.0231085597779037,0.230097205213158,0.0106328797185936,"High"
"Eremophila bilopha",0.00475976149695441,0.745799337208882,0.950881448830005,0.89452151807954,0.29855104608029,0.431448138801538,0.750289711841738,0.317445076640009,0.934316452234768,0.80549017688371,0.605251317005339,0.168302789808595,NA,"Passeriformes","LC",0.000734210484312901,2,4,0,"Grassland","Seed",3,"No",0.673399422360582,0,0.105263157894737,0,0.0264993420947624,0.0132496710473812,0.0865312756527748,0.00815026102659055,"Medium"
"Eremopterix griseus",0.00920811651729214,0.624633231399998,0.861277455226774,0.873874433480304,0.275091881101889,0.354463420407859,0.244908284423371,0.111802124239663,0.131353237331618,0.32286955449011,0.163493401530965,0.109075632720982,NA,"Passeriformes","LC",0.000255377559761009,2,3,0,"Shrub","Seed",4,"No",0.396376702363255,0,0.0789473684210526,0,0.0198006864952034,0.0099003432476017,0.0591418746191371,0.00369217699597225,"Low"
"Eremopterix nigriceps",0.0237983068222534,0.751408443132182,0.854844566693808,0.922782585061242,0.252053651265073,0.313564383667461,0.347728212061441,0.230002282569203,0.369148885807016,0.41489749937428,0.362572683106987,0.13343064591381,NA,"Passeriformes","LC",0.000212814633134174,2,4,0,"Plains","Seed",5,"No",0.481900319273869,0,0.105263157894737,0,0.0263689931319678,0.0131844965659839,0.0786144763680319,0.00585412713734866,"Medium"
"Erithacus rubecula",0.0602342917274249,0.758111322538234,0.875685452111704,0.718211615412731,0.430956799065159,0.497349673416738,0.693063413656178,0.205452187563533,0.694439586635338,0.674787924453036,0.409562081422214,0.188575794746494,NA,"Passeriformes","LC",0.00030042332377441,4,7,0,"Forest","Invertebrate",5,"No",0.595762005627487,0,0.236842105263158,0,0.0592856321467331,0.0296428160733665,0.12440504323696,0.0154630625860247,"High"
"Erpornis zantholeuca",0.0110314717583292,0.765455692342644,0.746119834092284,0.688385496261831,0.207123010347992,0.253571184138917,0.442912554516735,0.341831433568023,0.365787500288325,0.48343002511191,0.386193467784549,0.181281726350739,NA,"Passeriformes","LC",0.000212814633134174,2,3,0,"Forest","Invertebrate",3,"No",0.468081019845321,0,0.0789473684210526,0,0.0197900457635467,0.00989502288177335,0.0961565990545342,0.00418630653579246,"Low"
"Erythrogenys erythrocnemis",8.04348363526006e-05,0.756471859563808,0.759369389883428,0.581695119747829,0.118931593427535,0.168605034267263,0.270020403804179,0.314096068219574,0.332761351024761,0.420686701394164,0.41243912087147,0.203649071185316,NA,"Passeriformes","LC",0.00129816926211846,4,4,0,"Shrub","Invertebrate",4,"No",0.413507664220401,0,0.157894736842105,0,0.0397982265260559,0.019899113263028,0.101864753010834,0.00739024826038944,"Medium"
"Erythrogenys erythrogenys",0.00130403636189798,0.765062930678199,0.813979254887495,0.558720085988365,0.259906023395985,0.323231769383695,0.357668619153026,0.252226210426354,0.321551725941383,0.427812403263598,0.32186992541252,0.479540915256337,NA,"Passeriformes","LC",0.00114281457993052,3,NA,0,"Shrub","Invertebrate",2,"No",0.440202894853062,0,0.105263157894737,0,0.0266014931186668,0.0133007465593334,0.240422475809117,0.00444734701840736,"Low"
"Erythrogenys gravivox",0.00664373905082047,0.8203363103776,0.746123867782998,0.580515117567095,0.313848562075367,0.329802854561432,0.599365046603979,0.259912218195684,0.477231917107256,0.580324585748112,0.356609340524984,0.418066045392251,NA,"Passeriformes","LC",0.00124496560383492,2,6,0,"Forest","Invertebrate",4,"No",0.506406982054451,0,0.157894736842105,0,0.039784925611485,0.0198924628057425,0.212354892221536,0.00793448638800457,"Medium"
"Erythrogenys hypoleucos",0.00239977515109107,0.789414876785844,0.806100504499071,0.69973566517868,0.224084452494209,0.287675890044782,0.477146313742954,0.320058168568181,0.415166274272498,0.507839770912286,0.389359514236015,0.181274345847689,NA,"Passeriformes","LC",0.001546453000775,2,5,0,"Forest","Invertebrate",6,"No",0.491658143073452,0,0.131578947368421,0,0.033281350092299,0.0166406750461495,0.0918370604993898,0.007430156333888,"Medium"
"Erythrogenys mcclellandi",0.000901691363893423,0.807227968078136,0.791080624200772,0.637329238882535,0.248784612430215,0.300895953731688,0.617538085133018,0.375647678029899,0.553302783925759,0.594674919462738,0.48195503822599,0.261733680271429,NA,"Passeriformes","LC",0.0011651601164096,3,4,0,"Forest","Invertebrate",3,"No",0.540843690210075,0,0.131578947368421,0,0.0331860268712077,0.0165930134356038,0.131317685817661,0.00779575194670978,"Medium"
"Erythrogonys cinctus",0.0163938108061491,0.671059716809836,0.710690383033481,0.695006523626029,0.123996405120996,0.174597536722584,NA,0.315517125215741,0.320628502865252,NA,0.394486205149205,0.0485888359547585,NA,"Charadriiformes","LC",0.00109244845008876,2,5,0,"Wetland","Invertebrate",2,"No",0.425747799817891,0,0.131578947368421,0,0.0331678489546275,0.0165839244773137,0.0324913233804538,0.00683116211628321,"Medium"
"Erythropitta arquata",0.000614663487766438,0.68439985312064,0.530830910765347,0.649235233752517,0.108527936093685,0.121298455290872,NA,0.599901523254044,0.337336689897274,NA,0.51358332366086,0.16951964656042,NA,"Passeriformes","LC",0.0010314415885903,2,2,0,"Forest","Invertebrate",2,"No",0.443139240729405,0,0.0526315789473684,0,0.0134157551339897,0.00670787756699484,0.0850671550240933,0.00271965963142315,"Low"
"Erythropitta celebensis",0.000502293225059799,0.908541236247301,0.890033262853655,0.611802037425943,0.0888789066120696,0.191922728303991,0.448071556579867,0.701093730044638,0.422256544445691,0.541654558489748,0.711381936204362,0.160729854837467,NA,"Passeriformes","LC",0.00119176194555138,2,2,0,"Forest","Invertebrate",1,"No",0.551563649720726,0,0.0526315789473684,0,0.0134558352232299,0.00672791761161497,0.0806160740312633,0.00341171863585893,"Low"
"Erythropitta erythrogaster",0.000848799389025324,0.700849438343654,0.716181949106196,0.651665935170092,0.0872985371971088,0.145806396433145,0.394765628135818,0.366321917103979,0.270236852398201,0.448775879853617,0.421490229001406,0.111226747859825,NA,"Passeriformes","LC",0.00116161320585737,2,5,0,"Forest","Invertebrate",5,"No",0.420339276274322,0,0.131578947368421,0,0.0331851401435696,0.0165925700717848,0.0560377736244253,0.00658367294487714,"Medium"
"Erythropitta granatina",0.00244823495118651,0.668664521388091,0.586805690718,0.698923033958605,0.108952525646611,0.138063868538336,0.418627944316602,0.505665152160334,0.327442428281083,0.456378151774611,0.477560085966635,0.0660523836273818,NA,"Passeriformes","NT",0.00115629284002901,2,2,0,"Forest","Invertebrate",1,"No",0.438708340274891,0.25,0.0526315789473684,0,0.0134469679468494,0.131723483973425,0.0342503092892842,0.0558089276131887,"Very high"
"Erythropitta inspeculata",2.4190876448186e-06,0.962457895873237,0.949137385337718,0.603252973589167,0.0317434190721241,0.12960613113833,NA,1,0.460120407808578,NA,1,0.0511824090415572,NA,"Passeriformes","VU",0.000984267678245556,NA,NA,0,"Forest","Invertebrate",1,"No",0.642039776602394,0.5,NA,0,0.000328089226081852,0.250164044613041,0.025592414064601,0.156504734891027,"Very high"
"Erythropitta kochi",0.000114191408846395,0.728812400146579,0.680731616177395,0.616488000743567,0.0985491792716001,0.137296869082304,0.389913790627005,0.304196041415638,0.26645600273145,0.436494433461734,0.379033480978359,0.197090469374979,NA,"Passeriformes","LC",0.00235160169613263,NA,NA,0,"Forest","Invertebrate",2,"No",0.403797181463563,0,NA,0,0.000783867232044209,0.000391933616022104,0.0986023303919126,0.000142656718076991,"Very low"
"Erythropitta macklotii",0.00199804244715924,0.648243266080639,0.491217165062123,0.67074753429525,0.111834317879814,0.10421016983089,0.403192079615103,0.548656805415969,0.323378793042573,0.512973319316565,0.478707838764791,0.0881923330514559,NA,"Passeriformes","LC",0.00164292896779583,2,4,0,"Forest","Invertebrate",5,"No",0.429316128930372,0,0.105263157894737,0,0.0267265217156332,0.0133632608578166,0.0450951877493075,0.00547834946924846,"Medium"
"Erythropitta palliceps",5.52568110848509e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passeriformes","EN",0.0013407321887453,NA,NA,0,"Forest","Invertebrate",1,"No",NA,0.75,NA,0,0.000446910729581766,0.375223455364791,5.52568110848509e-07,NA,NA
"Erythropitta rubrinucha",7.82474656491144e-05,0.740132169999952,0.649297703520712,0.598709621654041,0.0737363499851369,0.115090933532223,0.359528412603784,0.442788686115484,0.281239037085316,0.445615299464282,0.463269038239813,0.125296220742977,NA,"Passeriformes","LC",0.00108535462898429,2,2,0,"Forest","Invertebrate",2,"No",0.416940725220074,0,0.0526315789473684,0,0.0134292333940882,0.00671461669704409,0.0626872341043131,0.00262409815297206,"Low"
"Erythropitta rufiventris",7.19560561117585e-05,0.952693237791521,0.880029703317052,0.587149554882626,0.0422390050179284,0.141481811094723,0.391046218595698,0.829887255077495,0.381152419425501,0.429135849837827,0.80435985499739,0.0963350203547142,NA,"Passeriformes","LC",0.00185148730826732,2,2,0,"Forest","Invertebrate",2,"No",0.543917491003776,0,0.0526315789473684,0,0.0136207665639089,0.00681038328195447,0.048203488205413,0.00352572705266496,"Low"
"Erythropitta ussheri",0.000118453915890525,0.816610866620878,0.786801041064765,0.676483965783608,0.0856177112487219,0.171080148347789,NA,0.672361923922074,0.369791344336808,NA,0.638342926693072,0.073155828846369,NA,"Passeriformes","LC",0.00117899306756333,2,2,0,"Forest","Invertebrate",1,"No",0.527136241002214,0,0.0526315789473684,0,0.0134526430037329,0.00672632150186647,0.0366371413811298,0.00341578396586217,"Low"
"Erythrotriorchis buergersi",0.000439317444060386,0.580428964452691,0.391113329784758,0.613818286563111,0.112722701042588,0.0811747822080125,NA,0.551055242954131,0.310951760873146,NA,0.450631393877597,0.208533005995867,NA,"Accipitriformes","NT",0.0121517155519614,NA,NA,0,"Forest","Vertebrate",1,"No",0.386487057719504,0.25,NA,0,0.00405057185065378,0.127025285925327,0.104486161719963,0.0439640241527591,"Very high"
"Erythrura coloria",3.66146883641776e-05,0.714005290227747,0.692293415481651,0.60647598112161,0.0954556773202454,0.161678452468847,0.430414224730008,0.533271914339187,0.288569027641158,0.474959219093953,0.497783579263657,0.253977418171764,NA,"Passeriformes","LC",0.000154290609022276,1,3,0,"Forest","Seed",3,"No",0.449490678168806,0,0.0526315789473684,0,0.0131964673890977,0.00659823369454884,0.127007016430064,0.00258916147210221,"Low"
"Erythrura hyperythra",0.00085329057566755,0.805717405238487,0.762153494813848,0.598878577472156,0.0918036985678793,0.161212277372788,0.384539263209552,0.528636782109299,0.327387682134471,0.436805161580513,0.53194892557117,0.190341149218049,NA,"Passeriformes","LC",0.000161739121181972,4,6,0,"Forest","Seed",4,"No",0.462908326807016,0,0.210526315789474,0,0.0526720137276639,0.026336006863832,0.0955972198968583,0.0110257161678139,"High"
"Erythrura papuana",0.000519712461454472,0.679705305197173,0.493317011263639,0.526959010760225,0.101609065207141,0.0981643773175415,NA,0.64049313398412,0.36018958766848,NA,0.548283460564298,0.306070104285617,NA,"Passeriformes","LC",0.000340503413014679,NA,NA,0,"Forest","Herbivore",2,"No",0.431090118995327,0,NA,0,0.00011350113767156,5.67505688357798e-05,0.153294908373536,2.07143094049924e-05,"Very low"
"Erythrura prasina",0.00457255656621505,0.679231088986169,0.612660349937815,0.678129870806888,0.116844938009821,0.150458394809168,0.430624152469935,0.452473831596846,0.308519353833584,0.496598520166838,0.439341822486721,0.106196701382707,NA,"Passeriformes","LC",0.000254526301228472,4,6,0,"Forest","Seed",4,"No",0.436488232310378,0,0.210526315789474,0,0.0526952105226755,0.0263476052613378,0.0553846289744609,0.0108634731709813,"High"
"Erythrura trichroa",0.00247417542012039,0.753445341059659,0.631975626901111,0.612741657043461,0.0961991153237733,0.129836456732922,0.385226118807299,0.642257322822477,0.363970144335038,0.475780070313348,0.587238039969501,0.166903412294478,NA,"Passeriformes","LC",0.000209267722581937,3,6,0,"Forest","Seed",5,"No",0.467866989330859,0,0.184210526315789,0,0.0461049485095928,0.0230524742547964,0.0846887938572994,0.00987208144076739,"High"
